

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1300.94,-147.024,9756.42,-0.958275,-0.0122787,0.45821,2.58972e-05,-2.90367e-06,-6.09718e-06,-5.82928,5.18499,83.1516,0,-917.934,17454.3,9701.06,10608.9,-648.28,-218.216,-247.961,-41.8791,-3.03645e-05,3.03735e-05,-1.7553e-05,94.0052,91.9549,116.089,8288.22,17169.5,9193.01
1,1,-1210.46,-166.131,9807.42,-1.29266,-0.122427,1.17637,2.54233e-05,-3.51967e-06,-5.62333e-06,-5.8294,5.18421,83.1531,294.179,-91.7934,19081.8,9259.04,10630.3,-622.738,-222.359,-251.578,-39.119,-3.00311e-05,3.03259e-05,-1.76482e-05,94.2816,90.5941,115.279,7155.53,15924.6,9099.48
1,2,-1190.91,-113.357,9761.4,-1.24228,-0.20144,1.02402,2.49984e-05,-3.97131e-06,-5.21115e-06,-5.82855,5.18422,83.1556,-1214.03,634.088,16612.9,9305.39,10580.6,-546.979,-224.997,-254.703,-35.8944,-2.97237e-05,3.033e-05,-1.77176e-05,94.5629,89.2176,114.462,8072.08,16823.2,10076.9
1,3,-1201.12,-141.777,9766.58,-1.22506,-0.102738,0.54608,2.49404e-05,-3.18957e-06,-5.26167e-06,-5.82845,5.18387,83.1572,-692.874,623.376,18372.4,9571.18,10650.6,-452.198,-225.218,-259.779,-30.2603,-2.94339e-05,3.03694e-05,-1.77694e-05,94.8708,87.8284,113.629,8906.9,17864.4,8789.8
1,4,-1254.83,-104.848,9740.79,-1.25968,-0.297807,0.378422,2.49855e-05,-2.06131e-06,-5.44219e-06,-5.82798,5.18554,83.1504,719.105,1061.21,18704.7,9801,10694.4,-465.082,-224.222,-266.342,-22.8476,-2.91482e-05,3.0417e-05,-1.7817e-05,95.2163,86.4263,112.776,9401.68,18473.7,9566.35
2,0,-1300.28,-114.559,9768.7,-1.2674,-0.373485,0.443362,2.50221e-05,-1.03656e-06,-5.60259e-06,-5.82764,5.18777,83.1382,1710.79,700.729,19154.3,9840.4,10755.1,-362.507,-222.624,-274.563,-15.1253,-2.8883e-05,3.05466e-05,-1.77415e-05,95.605,85.0104,111.893,9130.1,17806.9,10737.4
2,1,-1303.56,-181.732,9824.3,-1.16121,-0.401392,0.371879,2.49984e-05,-7.33894e-07,-5.62257e-06,-5.82535,5.18943,83.1253,1212.07,283.934,20081.3,9712.39,10818.1,-241.282,-221.474,-283.751,-8.22581,-2.8639e-05,3.0761e-05,-1.7539e-05,96.0344,83.5749,110.977,8527.18,17387,10722.6
2,2,-1284.71,-195.592,9811.41,-0.999503,-0.486882,0.286647,2.49081e-05,-1.23033e-06,-5.48718e-06,-5.82062,5.1912,83.1209,-11.3678,287.3,19567.7,9500.28,10815.3,-341.544,-221.459,-292.862,-2.49107,-2.8401e-05,3.0999e-05,-1.7301e-05,96.4967,82.1157,110.026,8221.95,17923.5,10147.6
2,3,-1251.69,-151.627,9748.04,-0.984668,-0.255336,0.436779,2.48278e-05,-1.72429e-06,-5.36045e-06,-5.81752,5.1928,83.1326,246.887,-558.891,18872.7,9312.97,10795.9,-574.29,-222.029,-301.9,2.41001,-2.81927e-05,3.13167e-05,-1.70629e-05,96.9849,80.6346,109.041,8271.34,17398.6,9871.27
