

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,2,-405.411,9779.15,-262.935,-3.03529,-0.751229,1.78859,1.28389e-05,2.58796e-05,-2.05102e-05,86.9237,-33.0857,-34.8336,217.504,9772.83,8809.35
7,3,-399.783,9792.61,-258.649,-3.28829,-0.433602,1.91517,1.27534e-05,2.58179e-05,-2.04413e-05,86.9162,-33.0962,-34.8399,-434.786,10947.3,8899.89
7,4,-323.27,9780.98,-219.934,-3.45125,-0.400793,2.114,1.29531e-05,2.58e-05,-2.01969e-05,86.9066,-33.1073,-34.8439,-179.212,10300.1,8803.06
8,0,-280.297,9782.64,-195.14,-3.52871,-0.419946,2.13409,1.3269e-05,2.58e-05,-1.9881e-05,86.896,-33.1194,-34.8483,79.4526,9093.23,8421.46
8,1,-324.819,9849.57,-185.426,-3.58323,-0.368387,2.12649,1.34436e-05,2.5825e-05,-1.97397e-05,86.8848,-33.1323,-34.8551,0,9343.67,7940.33
8,2,-398.615,9929.19,-179.88,-3.5691,-0.354239,2.33825,1.32916e-05,2.59075e-05,-2.00017e-05,86.8735,-33.1463,-34.8638,146.492,10299.6,7974.27
8,3,-420.049,9924.29,-191.8,-3.55018,-0.354938,2.57313,1.28403e-05,2.60429e-05,-2.06335e-05,86.8623,-33.1604,-34.8718,693.451,10918.6,8897.63
8,4,-393.517,9893.34,-209.459,-3.81859,-0.395528,2.62653,1.24081e-05,2.6174e-05,-2.12229e-05,86.8509,-33.172,-34.8766,1595.13,12220.6,8312.83
9,0,-434.711,9861.94,-270.631,-3.84602,-0.600981,2.73668,1.21288e-05,2.62712e-05,-2.14726e-05,86.8418,-33.18,-34.878,2325.11,10455.2,9227.04
9,1,-372.287,9869.46,-260.516,-3.88293,-0.593789,2.96418,1.20836e-05,2.63164e-05,-2.12019e-05,86.8317,-33.1885,-34.8765,511.092,8921.79,8647.02
9,2,-313.203,9856.57,-222.123,-3.9845,-0.530128,3.26915,1.20385e-05,2.63615e-05,-2.09311e-05,86.8184,-33.2027,-34.8779,-601.081,9455.46,9804.39
9,3,-290.928,9850.32,-242.602,-3.93201,-0.520249,3.45492,1.20085e-05,2.63915e-05,-2.07513e-05,86.8038,-33.2249,-34.8851,57.6609,8026.68,9395.32
9,4,-290.479,9839.83,-242.846,-4.022,-0.597778,3.54129,1.2e-05,2.64e-05,-2.07e-05,86.7877,-33.2503,-34.8953,175.018,9474.55,8365.08
10,0,-301.09,9791.78,-199.235,-4.24939,-0.791212,3.48923,1.2e-05,2.64e-05,-2.07e-05,86.7699,-33.2753,-34.9071,341.817,10574.7,8121.31
10,1,-311.366,9736.97,-136.829,-4.45219,-0.932578,3.26292,1.20795e-05,2.6347e-05,-2.06293e-05,86.7508,-33.298,-34.9195,978.706,10026.9,8788.38
10,2,-301.953,9731.52,-87.8743,-4.37682,-0.87235,2.97901,1.23342e-05,2.61772e-05,-2.04029e-05,86.732,-33.3187,-34.9317,1005.85,9669.98,9052.06
10,3,-280.901,9757.88,-78.1123,-4.01526,-0.73636,2.82857,1.27404e-05,2.59064e-05,-2.00419e-05,86.7145,-33.3391,-34.9431,46.4613,9628.49,8613.48
10,4,-308.433,9735.7,-113.358,-4.07254,-0.760073,2.77624,1.31353e-05,2.56514e-05,-1.96831e-05,86.698,-33.3587,-34.9545,106.653,9683.66,10185.5
11,0,-270.782,9759.55,-90.2454,-4.04545,-1.06814,2.7459,1.34401e-05,2.55225e-05,-1.93423e-05,86.6816,-33.3759,-34.963,286.916,9949.84,8323.8
11,1,-244.968,9809.81,-140.098,-3.88928,-1.36993,2.64631,1.36206e-05,2.55677e-05,-1.90264e-05,86.668,-33.389,-34.9664,725.889,12188.9,10140.3
11,2,-229.206,9821.71,-173.138,-3.80952,-1.31437,2.19441,1.38011e-05,2.56128e-05,-1.87105e-05,86.6564,-33.4,-34.9696,278.531,10388.7,6266.21
11,3,-260.287,9823.61,-99.0516,-3.6814,-1.08152,1.83389,1.38692e-05,2.55936e-05,-1.86678e-05,86.6453,-33.4059,-34.9716,123.587,9718.09,6989.88
