Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,3,-1502.33,-75.9405,9682.99,-1.24785,-2.75174,-0.521462,3.00E-05,1.65E-06,-4.83E-06,-4.88591,6.17897,67.2445,-85.0411,-295.924,18424.5
7,4,-1546.56,-94.8787,9720.07,-1.06956,-3.35985,-0.488249,3.03E-05,1.82E-06,-4.66E-06,-4.87954,6.17231,67.2609,150.457,31.1714,19502.2
8,0,-1560.95,-109.395,9770.69,-0.959104,-4.23013,-0.478084,3.07E-05,1.96E-06,-4.44E-06,-4.87122,6.16266,67.28,-512.45,-792.293,19015
8,1,-1534.3,-83.9859,9783.21,-0.660459,-5.04828,-0.699672,3.09E-05,1.97E-06,-4.34E-06,-4.85922,6.15077,67.2998,-414.129,-1625.77,17734.7
8,2,-1494.24,-42.9607,9768.65,-0.228098,-5.51405,-0.965891,3.09E-05,1.76E-06,-4.50E-06,-4.84384,6.13801,67.32,252.647,-1238.51,18685.4
8,3,-1463.78,-51.6259,9768.06,-0.157545,-5.7676,-1.02986,3.08E-05,1.40E-06,-4.81E-06,-4.82763,6.1238,67.3426,-72.5612,123.793,20301.1
8,4,-1359.83,-66.3456,9729.25,-0.193267,-6.05716,-0.815096,3.07E-05,1.11E-06,-5.11E-06,-4.81016,6.10666,67.3684,74.3564,642.857,19636.7
9,0,-1239.51,-55.3468,9707.9,-0.163259,-6.01956,-0.828958,3.08E-05,1.37E-06,-5.22E-06,-4.79122,6.08787,67.3947,743.564,-230.518,17895.7
9,1,-1141.16,-20.9594,9726.76,-0.328489,-5.59661,-0.578135,3.11E-05,2.14E-06,-5.18E-06,-4.7718,6.06906,67.418,191.507,-986.048,19214.8
9,2,-1057.01,-4.905,9726.46,-0.0254434,-4.83355,-0.455595,3.14E-05,2.91E-06,-5.13E-06,-4.75162,6.05283,67.4376,36.3514,-1703.52,21755.9
