Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,3,-7505.71,2146.57,13508.1,20.044,-43.9597,-96.0731,-1.44E-05,1.77E-05,1.75E-05,28.6486,5.91039,-16.1323,-8533.83,7299.16,23055.8
7,4,-7470.46,1925.78,13388.1,16.0744,-36.7841,-102.687,-1.47E-05,1.77E-05,1.73E-05,28.6796,5.86451,-16.5701,-8270.69,6867.17,22573.9
8,0,-7396.49,1924.56,13301.4,13.1491,-30.0309,-109.178,-1.50E-05,1.75E-05,1.71E-05,28.7028,5.8514,-17.0278,-8750.9,6906.5,23400.5
8,1,-7284.12,2139.18,13115,10.7315,-23.05,-115.337,-1.52E-05,1.72E-05,1.68E-05,28.7193,5.87206,-17.5041,-9288.32,7605.82,23543.7
8,2,-7283.78,2264.48,12896,7.55058,-16.1383,-122.193,-1.53E-05,1.70E-05,1.65E-05,28.7263,5.92736,-18.0002,-8696.32,8802.07,23073.8
8,3,-7356.52,2281.23,12966.6,4.28901,-10.7167,-130.292,-1.54E-05,1.69E-05,1.63E-05,28.7224,6.01327,-18.5219,-7826.82,8235.22,22751.2
8,4,-7290.07,2256.1,12919.5,1.25427,-5.42734,-139.181,-1.51E-05,1.73E-05,1.62E-05,28.7084,6.12986,-19.0728,-9113.75,8739.57,21884.8
9,0,-7356.52,2435.75,12773.2,-1.63747,0.0288697,-148.261,-1.49E-05,1.76E-05,1.60E-05,28.6849,6.27812,-19.6528,-7345.16,9575.04,23440.3
9,1,-7436.82,2614.95,12749.7,-4.69144,4.35878,-158.172,-1.47E-05,1.79E-05,1.60E-05,28.6491,6.45839,-20.2697,-7192.55,9536.2,23162.8
9,2,-7679.02,2854.2,12703.9,-7.20602,8.41208,-167.813,-1.44E-05,1.78E-05,1.64E-05,28.6043,6.66555,-20.9178,-7906.12,8760.07,22265.4
9,3,-7632.75,3037.73,12756.3,-9.53455,11.1557,-177.251,-1.41E-05,1.76E-05,1.70E-05,28.5501,6.89364,-21.5985,-8778.07,8230.03,23357.7
9,4,-7544.51,3215.59,12756.3,-11.972,12.9531,-186.116,-1.38E-05,1.75E-05,1.75E-05,28.4852,7.13898,-22.3101,-9477.42,9216.86,23389.5
10,0,-7419.4,3328.88,12739.2,-14.3587,13.6761,-195.075,-1.37E-05,1.75E-05,1.76E-05,28.4087,7.39834,-23.0512,-9044.73,9329.11,24061.3
10,1,-7306.06,3474.98,12744.7,-17.5693,13.637,-204.492,-1.38E-05,1.77E-05,1.74E-05,28.3162,7.67025,-23.8243,-8413.13,9112.91,23739.5
10,2,-7306.52,3634.74,12881,-21.6587,12.8947,-214.046,-1.39E-05,1.79E-05,1.72E-05,28.2042,7.95184,-24.6329,-8199.37,9680.51,22296
10,3,-7383.25,3618.69,13235.7,-24.9356,10.8063,-223.516,-1.37E-05,1.80E-05,1.70E-05,28.0747,8.23711,-25.4798,-7810.2,9333.96,23341.9
10,4,-7462.51,3683.82,13470.3,-27.3821,7.61029,-233.237,-1.29E-05,1.81E-05,1.69E-05,27.9295,8.52121,-26.3685,-9001.68,8706.39,22210.8
11,0,-7616.4,3826.38,13688.7,-30.6218,3.34268,-242.875,-1.21E-05,1.81E-05,1.67E-05,27.7644,8.80119,-27.2976,-6912.49,9567.46,22758.6
