

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,2,-2510.23,2.51519,9494.75,-1.50911,3.08622,0.976559,3.18475e-05,1.80391e-06,-5.01437e-06,-9.81741,13.1045,74.1705,-1188.54,-95.6746,18364.1
7,3,-2494.38,5.83364,9531.25,-1.98648,4.13277,0.423279,3.2049e-05,1.73351e-06,-4.83403e-06,-9.82871,13.1167,74.1882,-633.031,-264.087,19967.8
7,4,-2535.91,100.41,9489.62,-2.50061,3.95246,0.294049,3.23333e-05,1.68612e-06,-4.64449e-06,-9.83915,13.129,74.2008,-1009.37,-433.441,19965.3
8,0,-2595.39,124.407,9423.63,-2.95922,3.81362,0.000415107,3.258e-05,1.63874e-06,-4.79325e-06,-9.85133,13.1415,74.2084,-1909.31,-778.899,19120.4
8,1,-2679.63,86.8056,9395.77,-3.22355,3.74475,-0.123092,3.27846e-05,1.59135e-06,-5.3211e-06,-9.86561,13.1539,74.2148,-1803.03,-831.872,18108.9
8,2,-2745.57,26.467,9385.71,-3.55315,3.06673,-0.0309894,3.29741e-05,1.54396e-06,-5.9845e-06,-9.88118,13.1633,74.2213,-1328.87,-240.348,17456.6
8,3,-2713.14,-79.0669,9377.05,-4.06138,2.60809,-0.445879,3.31273e-05,1.50569e-06,-6.52039e-06,-9.89859,13.168,74.2267,-1910.03,175.88,17641.3
8,4,-2733.34,-6.16403,9399.81,-3.72174,2.2458,0.3811,3.315e-05,1.5e-06,-6.6e-06,-9.91256,13.1738,74.2354,-226.117,-98.6479,17021.1
9,0,-2648.49,-95.3888,9557.27,-3.71739,1.65157,0.00644428,3.315e-05,1.5e-06,-6.6e-06,-9.92499,13.1742,74.2426,-288.21,0,17221.4
9,1,-2682.79,-68.9722,9532.04,-3.38252,1.91812,0.430278,3.31449e-05,1.49349e-06,-6.59349e-06,-9.93692,13.1778,74.2525,-1052.47,325.154,16905.3
9,2,-2703.64,-18.127,9540.9,-2.83177,1.6974,-0.0528239,3.28635e-05,1.13169e-06,-6.23169e-06,-9.9457,13.1826,74.26,-1526.89,-159.127,18833.3
9,3,-2795.29,-54.5193,9389.55,-3.38416,1.17387,-0.271055,3.25476e-05,7.25485e-07,-5.82549e-06,-9.95805,13.1855,74.2672,-487.279,-86.769,17129.6
9,4,-2778.85,-39.1483,9337.33,-4.05431,0.97632,-0.375746,3.22467e-05,3.33539e-07,-5.42828e-06,-9.97145,13.1861,74.2742,0,253.383,18176.3
10,0,-2724.24,-30.0901,9433.44,-3.79487,0.99164,-0.298655,3.24422e-05,4.13254e-07,-5.32898e-06,-9.98177,13.1869,74.2758,0,211.152,20275
10,1,-2638.21,-73.0874,9534.08,-3.10954,1.44158,-0.0798354,3.3029e-05,8.64596e-07,-5.46438e-06,-9.98961,13.1889,74.2723,-760.577,279.794,19704.4
10,2,-2486.2,-117.58,9571.04,-2.67541,2.27713,0.0977905,3.36025e-05,1.31339e-06,-5.59672e-06,-9.99653,13.1918,74.2681,-1655.41,452.267,17978.4
10,3,-2377.47,-143.52,9573.58,-2.33728,2.82525,0.126733,3.38975e-05,1.70864e-06,-5.66482e-06,-10.0033,13.1951,74.2663,-865.055,-102.855,19026.5
10,4,-2419.62,-207.993,9429.18,-2.56007,3.32539,-0.0758125,3.33108e-05,1.93431e-06,-5.52941e-06,-10.0155,13.1994,74.2731,-104.935,-52.9626,20321.2
11,0,-2431.32,-65.3214,9402.9,-2.14785,3.51729,-0.16848,3.27241e-05,2.15998e-06,-5.39401e-06,-10.0249,13.2073,74.2817,-1049.35,-385.769,18656.6
