

Devices
250
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,3,-1911.46,1142.17,9549.18,2.01227,5.443,7.81826,-1.13351e-05,6.06854e-06,2.01055e-05,5.64272,15.1797,15.2698,-1674.31,7209.24,18532.2
7,4,-1999.76,1196.59,9553.17,1.71804,5.74268,7.76711,-1.08376e-05,6.38518e-06,1.98341e-05,5.66616,15.1893,15.2278,-2106.43,5940.17,19489.5
8,0,-2099.78,1212.05,9553.63,1.65463,6.18364,7.87769,-1.05781e-05,6.4836e-06,1.99e-05,5.68846,15.2027,15.1918,-2004.42,6578.62,20949.4
8,1,-2092.49,1177.81,9535.99,1.4859,6.54098,8.16714,-1.05598e-05,6.36088e-06,2.03076e-05,5.70844,15.2173,15.1636,-1396.37,7781.98,19987.4
8,2,-2066.16,1145.74,9554.36,0.97034,6.62819,8.24565,-1.0605e-05,6.17995e-06,2.08051e-05,5.7254,15.2315,15.1389,-533.322,7993.76,18112.5
8,3,-2152.03,1157.04,9639.79,0.475856,6.75231,8.11029,-1.07554e-05,6.02328e-06,2.11894e-05,5.74014,15.2471,15.1136,-1273.73,8057.06,18823
8,4,-2161.19,1205.06,9695.8,-0.00146556,7.0204,8.35151,-1.12867e-05,5.95452e-06,2.11636e-05,5.75419,15.2631,15.0868,-2531.68,9061.1,18254.6
9,0,-2230.99,1254.36,9500.86,-0.408853,7.12801,8.90634,-1.192e-05,5.90929e-06,2.10279e-05,5.7682,15.2816,15.061,-2441.93,7461.14,18942.1
9,1,-2209.74,1234.91,9650.63,-0.930297,7.63328,8.65844,-1.25533e-05,5.86405e-06,2.08922e-05,5.77884,15.3006,15.0342,-1535.8,8377.14,19115.6
9,2,-2269.28,1299.88,9604.89,-1.39841,8.02789,9.12405,-1.23619e-05,5.78583e-06,2.07894e-05,5.79033,15.322,15.0012,-3177.12,8584.36,19979.8
9,3,-2255.96,1285.66,9640.04,-1.63175,7.90929,9.49396,-1.19094e-05,5.69717e-06,2.06972e-05,5.80134,15.3415,14.9655,-1861.13,7833.38,20910.8
9,4,-2298.66,1238.17,9635.62,-2.03659,8.17608,9.50225,-1.14118e-05,5.6067e-06,2.06067e-05,5.80962,15.3628,14.9283,-2229.88,7186.04,20311.6
