

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
4,1,-834.036,138.67,9775.1,-1.69552,0.222022,0.0414917,2.745e-05,-3.95001e-07,-4.11833e-06,-3.42907,3.72504,97.9519,-436.241,989.702,18603.2,-518.348,1667.64,9697.26,-1.52448,1.64999,0.158111,-2.31663e-05,2.27441e-06,2.1e-05,10.4594,-1.43217,-53.4717,-138.532,7676.41,19358.2
4,2,-852.687,141.001,9768.75,-1.62596,0.362105,-0.283198,2.74465e-05,-7.8753e-07,-4.01085e-06,-3.42988,3.72748,97.9514,253.317,-256.635,18708.2,-522.886,1728.18,9670.64,-1.4319,2.06592,0.145301,-2.26326e-05,2.35653e-06,2.1e-05,10.4644,-1.42745,-53.4722,-242.431,7533.65,20381.9
4,3,-762.617,95.517,9813.38,-1.74474,0.236105,-0.559779,2.74278e-05,-1.02776e-06,-4.05567e-06,-3.42996,3.72822,97.9465,51.0829,-530.345,18106,-511.387,1777.39,9585.3,-1.97491,2.16916,0.206958,-2.235e-05,2.4e-06,2.1e-05,10.4685,-1.42203,-53.4709,-178.744,7534.35,19498.2
4,4,-818.937,157.425,9817.39,-1.80166,-0.177713,0.172536,2.73803e-05,-9.80254e-07,-4.38822e-06,-3.42923,3.73077,97.9387,111.148,747.351,18138.2,-505.419,1713.72,9565.17,-2.09253,1.75196,0.223459,-2.235e-05,2.4e-06,2.1e-05,10.4703,-1.41703,-53.4653,-931.66,8045.56,20689.2
5,0,-820.016,255.642,9791.22,-1.15598,0.29661,-0.774582,2.73327e-05,-9.32746e-07,-4.72078e-06,-3.42592,3.73699,97.9246,271.438,542.876,20298.6,-591.586,1640.46,9655.16,-2.49258,1.94896,-0.201545,-2.235e-05,2.4e-06,2.1e-05,10.4702,-1.40841,-53.4605,-1273.14,6697.22,18332.6
5,1,-856.132,163.47,9757.7,-1.03737,0.0110714,-0.180534,2.73033e-05,-9.03275e-07,-4.92708e-06,-3.42596,3.73989,97.9157,-407.759,480.457,19113.6,-570.827,1722.36,9725.11,-2.35104,1.21611,-0.373457,-2.26252e-05,2.4e-06,2.06423e-05,10.4716,-1.40886,-53.4564,-1147.49,7377.34,19054.7
5,2,-817.657,150.387,9753.46,-0.691353,-0.555921,0.0780182,2.73e-05,-9e-07,-4.95e-06,-3.41972,3.7432,97.9058,250.659,59.3098,20181.6,-605.488,1705.94,9715.94,-1.94417,0.918775,-0.0953412,-2.3079e-05,2.4e-06,2.00523e-05,10.473,-1.40834,-53.4528,-1632.45,7613.76,18463.3
5,3,-857.628,80.5111,9741.61,-0.55434,-1.03614,0.213401,2.73e-05,-9e-07,-4.95e-06,-3.41333,3.74516,97.8963,227.335,83.8231,18155.9,-666.19,1631.25,9716,-1.96738,0.899911,-0.196691,-2.35552e-05,2.4e-06,1.94333e-05,10.4734,-1.40641,-53.4545,-1547.4,7638.31,18532.6
5,4,-851.634,98.6023,9763.69,-0.265077,-0.628991,0.346449,2.72148e-05,-8.14798e-07,-4.8648e-06,-3.407,3.74999,97.8873,13.1943,-164.059,18631.7,-700.242,1641.36,9702.73,-2.04189,0.541967,-0.395837,-2.35362e-05,2.1878e-06,1.92151e-05,10.4746,-1.40435,-53.4585,-1056.46,7745.61,18697.9
6,0,-830.533,146.463,9770.16,-0.419012,-0.453866,0.192127,2.7026e-05,-6.2603e-07,-4.67603e-06,-3.40072,3.75477,97.8778,294.858,271.608,18771.3,-638.055,1628.19,9700.64,-1.98363,0.247507,-0.166325,-2.31267e-05,1.80825e-06,1.9313e-05,10.4747,-1.40341,-53.4622,-394.551,7861.79,18843.7
6,1,-778.897,200.405,9755.51,-0.915113,-0.980811,-0.245223,2.67885e-05,-3.8849e-07,-4.43849e-06,-3.39246,3.75632,97.8692,396.118,271.936,17755.3,-564.27,1588,9732.37,-1.98649,0.246561,-0.0119069,-2.2603e-05,1.3797e-06,1.95035e-05,10.4735,-1.40278,-53.4599,-217.321,7776.79,19043.4
6,2,-686.936,219.983,9733.96,-1.17431,-1.18481,-0.349617,2.67274e-05,-1.95063e-07,-4.28918e-06,-3.38428,3.75551,97.8643,0,-622.2,17713.1,-579.878,1604.64,9756.31,-2.17443,0.168681,-0.387191,-2.22232e-05,1.25367e-06,1.96507e-05,10.4726,-1.40128,-53.45,-541.215,7878.15,19017.6
6,3,-672.042,147.235,9723.23,-1.13863,-0.540791,0.134336,2.70705e-05,-1.02682e-07,-4.34195e-06,-3.38047,3.75547,97.8626,31.7936,-287.318,18246,-630.544,1652.7,9733.95,-2.37516,-0.247286,-0.583881,-2.21414e-05,1.75318e-06,1.97086e-05,10.4731,-1.39918,-53.4386,-386.477,8372.99,18927.4
6,4,-791.919,200.947,9836.23,-0.935594,-0.653247,-0.0697369,2.75931e-05,-5.51742e-08,-4.48448e-06,-3.37428,3.75814,97.8594,245.975,538.794,18456.2,-633.057,1680.05,9747.6,-2.44251,-0.563985,-0.0936278,-2.20949e-05,2.31691e-06,1.97539e-05,10.474,-1.39743,-53.4285,191.696,7706,19966.9
7,0,-854.732,171.862,9814.04,-1.41341,-0.196323,-0.471582,2.81157e-05,-7.66628e-09,-4.627e-06,-3.37456,3.76094,97.8579,1029.04,1095.8,19541,-596.284,1691.65,9692.74,-2.00508,-0.632676,-0.257981,-2.20577e-05,2.81936e-06,1.97808e-05,10.4745,-1.39733,-53.4253,0,8174.22,18265.5
