

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1133.94,-769.041,9703.56,-1.87117,-0.0325886,-0.780956,2.59446e-05,-4.49853e-06,-4.35196e-06,-8.42443,2.87193,77.0478,0,-586.511,17853.8,-182.03,67.6346,9834.92,-2.43543,0.855175,-1.64217,-1.77e-05,1.005e-05,2.31e-05,-1.36009,0.906433,231.326,-649.631,7346.86,20930.3
1,1,-1145.82,-686.04,9707.34,-2.89975,-0.624178,-1.27681,2.54232e-05,-4.35632e-06,-4.54157e-06,-8.42276,2.86748,77.0458,232.106,-754.97,20066.3,-147.565,32.6957,9792.33,-2.44026,0.909168,-0.934619,-1.77e-05,1.005e-05,2.31e-05,-1.36175,0.901657,231.323,-235.774,6505.97,18108.3
1,2,-1162.66,-691.242,9576.5,-3.43954,-0.175998,-1.13347,2.49017e-05,-4.21411e-06,-4.73118e-06,-8.4249,2.86405,77.0441,168.024,-504.073,19786.4,-124.378,5.62524,9799.13,-2.48772,0.525038,-1.09783,-1.77e-05,1.005e-05,2.31e-05,-1.36203,0.896331,231.32,-37.9579,7701.43,21342.9
1,3,-1144.33,-744.819,9600.07,-3.32192,-0.0463921,-1.38812,2.44815e-05,-4.1076e-06,-4.8732e-06,-8.42711,2.86011,77.041,-891.161,-1400.69,19314.2,-79.5452,-39.8096,9838.26,-1.94443,0.517901,-0.902071,-1.78065e-05,1.00074e-05,2.29935e-05,-1.35946,0.890023,231.316,287.756,6744.59,21020.9
1,4,-1162.28,-880.569,9716.5,-3.25859,-0.0549754,-1.46273,2.45406e-05,-4.1703e-06,-4.7896e-06,-8.43149,2.85463,77.0367,-629.134,-915.431,19098.6,-74.0334,-8.16237,9800.3,-1.56083,1.09891,-0.720126,-1.80105e-05,9.92582e-06,2.27895e-05,-1.35773,0.88542,231.313,164.432,6161.22,20640.4
2,0,-1124.89,-891.019,9806.56,-2.5337,0.181343,-1.71072,2.4825e-05,-4.31251e-06,-4.59999e-06,-8.43281,2.85143,77.0306,16.6085,32.9354,18854.6,-96.6672,35.63,9804.53,-1.43526,1.30877,-0.705519,-1.82479e-05,9.83083e-06,2.25521e-05,-1.35775,0.881974,231.312,0,5839.69,20879.6
2,1,-1101.92,-803.354,9854.1,-1.87981,0.319754,-1.59497,2.50896e-05,-4.43491e-06,-4.48301e-06,-8.43123,2.85067,77.0268,-249.684,38.0672,17754.6,-140.496,28.4259,9834.01,-1.4741,1.11037,-0.874669,-1.84389e-05,9.76684e-06,2.23146e-05,-1.35943,0.877216,231.313,0,5989.72,20587.6
2,2,-1153.51,-788.363,9872.73,-1.93802,0.118739,-1.06571,2.52969e-05,-4.5e-06,-4.57616e-06,-8.42993,2.85005,77.0261,-619.313,-459.703,17239.6,-150.426,9.10967,9844.78,-1.43516,1.07597,-0.836903,-1.85591e-05,9.75e-06,2.20771e-05,-1.36091,0.871749,231.315,77.1247,6882.38,20110.3
2,3,-1188.27,-827.325,9835.96,-1.66481,-0.0218423,-1.19996,2.54391e-05,-4.5e-06,-4.90798e-06,-8.42796,2.85028,77.0227,49.786,-514.24,19326,-106.809,63.6537,9900.77,-1.18126,1.16021,-0.47172,-1.86541e-05,9.75e-06,2.18397e-05,-1.36203,0.869303,231.317,205.666,7417.68,20384.5
2,4,-1298.96,-826.212,9778.38,-1.29549,-0.252756,-0.995416,2.55495e-05,-4.4951e-06,-5.21773e-06,-8.42563,2.85266,77.0197,-63.1854,-926.998,19756.1,-233.123,204.546,9878.13,-1.48623,1.1746,-1.21067,-1.87632e-05,9.75941e-06,2.16116e-05,-1.37073,0.870063,231.321,-31.1895,7414.24,19751.6
3,0,-1252.99,-912.659,9755.98,-1.00819,-1.05741,-0.381576,2.54048e-05,-4.45097e-06,-5.35097e-06,-8.42109,2.85145,77.0192,-631.854,-1110.23,18990.4,-126.851,226.658,9876.5,-1.62605,1.27426,-0.74179,-1.89853e-05,9.84411e-06,2.14588e-05,-1.37559,0.87374,231.324,-311.895,6634.71,19446.8
3,1,-1148.95,-791.316,9827.77,-0.633988,-0.408787,-0.608906,2.49308e-05,-4.35616e-06,-5.25616e-06,-8.41308,2.85348,77.0175,248.2,-111.023,17022.9,-71.683,153.208,9941.48,-1.17545,1.12325,-0.928544,-1.92227e-05,9.9391e-06,2.13164e-05,-1.37634,0.875275,231.328,-810.717,5562.45,20376.2
3,2,-1207.17,-823.393,9763.64,-0.425727,-0.702938,-0.575743,2.44568e-05,-4.26136e-06,-5.16136e-06,-8.40548,2.85536,77.016,215.194,-382.699,19142.2,-42.0095,89.6907,10003.2,-1.58227,1.25367,-0.485169,-1.94436e-05,1.00382e-05,2.11926e-05,-1.37484,0.874803,231.332,-2054.66,6053.06,19457.3
