

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
4,0,-1256.92,89.1336,9732.41,-3.7958,-2.72123,-0.280868,2.53929e-05,-2.35732e-06,-4.52152e-06,-6.5686,5.80648,86.7608,-88.3591,-434.194,19852.8,2499.07,2497.91,9257.35,-0.892944,1.69027,0.273798,-2.78787e-05,1.28573e-05,1.74172e-05,-3.17846,-24.0206,-106.21,1030.86,8102.93,18804.8
4,1,-1247.07,70.1106,9693.4,-4.04985,-2.4456,-0.514253,2.52034e-05,-1.55174e-06,-4.09504e-06,-6.56327,5.79235,86.7541,-382.699,125.695,19940,2469.45,2415,9135.37,-1.00827,1.30918,0.10549,-2.81167e-05,1.33335e-05,1.756e-05,-3.17489,-24.0186,-106.2,650.764,8260.27,19211
4,2,-1225.67,-9.2515,9754.79,-3.96029,-2.15164,-0.608755,2.50551e-05,-1.10423e-06,-3.98531e-06,-6.55991,5.77749,86.7562,-1341.21,-692.465,19638.1,2419.44,2411.93,9138.13,-0.993568,1.0295,-0.133264,-2.81838e-05,1.37868e-05,1.76687e-05,-3.17321,-24.0174,-106.196,1518.04,9119.74,20763.5
4,3,-1233.34,-59.264,9780.71,-3.62782,-1.88287,-0.424323,2.49936e-05,-1.40792e-06,-4.5401e-06,-6.55739,5.76372,86.7624,-1790.62,-2420.8,18814.8,2455.99,2514.32,9204.07,-0.694095,1.07309,-0.547409,-2.78642e-05,1.41886e-05,1.77e-05,-3.16646,-24.0184,-106.193,2130.21,9392,22545
4,4,-1337.02,-114.79,9706.11,-3.49162,-2.0523,-0.469311,2.49476e-05,-1.83283e-06,-5.2011e-06,-6.55651,5.75077,86.7681,17.4683,-5.16883,21058.2,2413.63,2530.47,9223.81,-0.962774,1.3705,-0.359167,-2.73881e-05,1.45695e-05,1.77e-05,-3.1592,-24.0172,-106.191,3295.73,9939.02,18970.8
5,0,-1267.76,-182.357,9708.59,-3.47814,-1.70603,-0.434451,2.49133e-05,-2.24516e-06,-5.84274e-06,-6.55623,5.7372,86.7673,174.683,-607.38,20175,2488.44,2678.53,9114.54,-0.916382,0.625346,-0.246244,-2.6912e-05,1.49504e-05,1.77e-05,-3.15998,-24.0216,-106.198,1279.22,10201.7,20575.4
5,1,-1297.74,-114.504,9722.07,-3.67213,-1.4109,-0.185384,2.54346e-05,-2.05561e-06,-5.55842e-06,-6.55669,5.7259,86.7652,17.4683,-491.274,18377.9,2485.56,2579.08,9099.79,-1.34924,0.394797,-0.406984,-2.6646e-05,1.43224e-05,1.78682e-05,-3.16288,-24.0242,-106.208,1385.13,9630.89,17754.9
5,2,-1275.46,-87.8254,9769.03,-3.50026,-1.30632,0.000577223,2.59558e-05,-1.86606e-06,-5.2741e-06,-6.55578,5.71538,86.7633,0,-157.924,18943.6,2401.54,2490.82,9143.63,-0.869207,0.269818,-0.281309,-2.64048e-05,1.35755e-05,1.80561e-05,-3.16528,-24.0238,-106.218,1523.48,8259.8,19146.5
5,3,-1289.45,-108.709,9740.67,-3.16178,-1.47335,-0.286953,2.63102e-05,-1.75352e-06,-5.06036e-06,-6.55418,5.70509,86.7629,620.543,597.2,18563.6,2410.17,2501.13,9131.89,-0.904207,0.883675,0.224355,-2.61897e-05,1.28612e-05,1.82272e-05,-3.16328,-24.0238,-106.225,1096.71,8860.88,18891.9
5,4,-1305.87,-122.583,9793.16,-2.61716,-1.40971,-0.398451,2.59386e-05,-1.97606e-06,-5.15379e-06,-6.55149,5.69668,86.7637,354.596,354.596,18849.4,2425.87,2525.39,9076.07,-1.26878,1.30493,0.609842,-2.63741e-05,1.29769e-05,1.80602e-05,-3.15848,-24.0226,-106.222,1459.12,8393.96,18263.6
6,0,-1369.34,-126.641,9778.47,-2.16088,-1.32522,-0.181645,2.52278e-05,-2.35516e-06,-5.39072e-06,-6.54881,5.69094,86.7658,-43.6406,0,19473.7,2456.97,2540.05,9074.6,-1.40453,1.3716,0.792442,-2.6755e-05,1.35006e-05,1.77269e-05,-3.15304,-24.0212,-106.212,915.853,7986.42,18803.3
6,1,-1398.76,-106.635,9736.78,-2.10337,-1.31668,-0.0316952,2.46746e-05,-2.67946e-06,-5.59341e-06,-6.54587,5.68623,86.7652,-626.417,-125.312,19865.7,2527.56,2526.13,9150.07,-1.46108,1.21988,0.757081,-2.71e-05,1.3975e-05,1.74385e-05,-3.14955,-24.02,-106.201,928.035,8705.81,19231.8
6,2,-1386.04,-59.8583,9712.36,-2.17712,-1.25283,-0.108916,2.45634e-05,-2.85e-06,-5.7e-06,-6.54224,5.68246,86.7595,-1422.35,203.578,19220.4,2573.94,2496.32,9157.4,-1.36606,1.09364,0.704594,-2.73e-05,1.425e-05,1.73313e-05,-3.14773,-24.0197,-106.192,2084.44,9025.13,18735.2
6,3,-1437.63,-45.5412,9600.06,-1.83743,-1.2132,-0.14409,2.49424e-05,-2.85e-06,-5.7e-06,-6.53829,5.68098,86.7519,-1065.46,1033.48,17253.1,2526.83,2503,9067.47,-0.796348,1.20555,0.911816,-2.73e-05,1.425e-05,1.74742e-05,-3.14464,-24.0214,-106.189,1480.44,8000.42,18575.2
6,4,-1371.56,-107.509,9658.11,-1.46803,-1.39883,-0.211347,2.5319e-05,-2.84248e-06,-5.67994e-06,-6.53254,5.67801,86.7436,218.614,-519.519,17335.5,2492.36,2523.24,9262.9,-1.00295,1.11546,0.82693,-2.7304e-05,1.425e-05,1.7629e-05,-3.14157,-24.0212,-106.187,1339.36,8568.08,18183.4
7,0,-1497.43,-42.0453,9736.32,-1.62467,-1.56936,-0.0228748,2.56756e-05,-2.77476e-06,-5.49936e-06,-6.52742,5.67687,86.7364,0,-956.746,19388.5,2543.68,2590.8,9036.76,-0.758762,0.798564,0.188364,-2.73399e-05,1.425e-05,1.78795e-05,-3.13891,-24.0267,-106.187,2018.76,8025.21,20994.8
7,1,-1546.83,-69.635,9747.51,-1.84497,-1.53487,-0.501591,2.60073e-05,-2.6326e-06,-5.12027e-06,-6.52458,5.67536,86.7271,-937.793,-1151.41,18187,2429.81,2598.58,9209.13,-1.54365,0.934152,0.357726,-2.74351e-05,1.425e-05,1.8308e-05,-3.13873,-24.0277,-106.191,2097.11,8725.25,18459.8
7,2,-1492.56,-26.9167,9696.69,-2.10981,-1.8828,-0.510068,2.6339e-05,-2.49044e-06,-4.74117e-06,-6.51975,5.67165,86.7183,-179.434,-602.823,19228.9,2396.92,2582.69,9144.99,-1.25752,0.324764,0.612285,-2.75304e-05,1.425e-05,1.87366e-05,-3.13847,-24.0288,-106.194,-106.962,7646.51,19444.9
7,3,-1450.84,-69.6161,9688.46,-1.75877,-2.11803,-0.608626,2.64626e-05,-2.53328e-06,-4.54708e-06,-6.51324,5.6671,86.709,10.8618,935.822,18717.3,2429.84,2537.69,9161.91,-1.26147,-0.0699359,0.663609,-2.75253e-05,1.40093e-05,1.88642e-05,-3.13954,-24.0294,-106.198,890.917,8569.58,18465.3
7,4,-1348,-76.3656,9707.06,-1.81717,-2.49294,-0.564178,2.64207e-05,-2.72314e-06,-4.5e-06,-6.5044,5.6591,86.7021,0,1100.73,17368.5,2374.89,2535.98,9159.62,-1.57209,-0.0340839,0.51496,-2.74188e-05,1.35252e-05,1.86876e-05,-3.13903,-24.0292,-106.2,1770.36,9070.72,18034.1
8,0,-1309.06,-72.6403,9695.03,-2.10599,-2.35814,-0.242841,2.6326e-05,-2.96007e-06,-4.5e-06,-6.49677,5.6506,86.698,0,405.896,17036.6,2331.26,2494.92,9117.03,-1.57909,0.0206139,0.342788,-2.72759e-05,1.29538e-05,1.84019e-05,-3.13838,-24.028,-106.201,1899.38,9298.86,19062
8,1,-1371.93,-80.4924,9703.91,-2.22359,-1.92271,0.0123703,2.62312e-05,-3.09863e-06,-4.5164e-06,-6.49176,5.64405,86.6953,693.848,693.848,17922.6,2357.41,2483.48,9106.98,-1.42254,-0.136496,0.423143,-2.7178e-05,1.25618e-05,1.82059e-05,-3.13817,-24.0272,-106.202,1948.62,9167.83,19814.7
8,2,-1419.71,-53.4509,9737.93,-2.35264,-1.89809,-0.0306637,2.61364e-05,-3.09321e-06,-4.55679e-06,-6.48724,5.6382,86.691,1337.28,1193.52,19375.3,2398.92,2527.07,9120.61,-1.37326,-0.370112,0.593702,-2.715e-05,1.245e-05,1.815e-05,-3.13751,-24.0273,-106.2,1948.62,8622.92,19464.8
