Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1081.52,-957.442,9678.68,-3.13337,-0.101447,-0.221969,2.81E-05,-3.09E-07,-4.22E-06,-9.63051,2.21302,68.7058,1161.65,-1127.77,18554.1
1,1,-1199.57,-953.984,9656.31,-3.44714,-0.158525,0.163569,2.84E-05,-6.41E-07,-4.08E-06,-9.63074,2.21309,68.7111,101.376,-978.778,19933
1,2,-1191.47,-988.255,9671,-3.87235,-0.242086,0.314512,2.86E-05,-9.74E-07,-3.93E-06,-9.63466,2.20913,68.7163,379.412,-192.445,18599.4
1,3,-1198.33,-960.299,9645.16,-4.09389,-0.209845,0.174747,2.83E-05,-1.23E-06,-4.01E-06,-9.63918,2.20533,68.7196,-396.272,464.8,17343.4
1,4,-1208.43,-977.331,9620.1,-4.33078,-0.344165,0.125583,2.78E-05,-1.47E-06,-4.15E-06,-9.64468,2.20048,68.7205,-1475.17,-148.136,17476.5
2,0,-1218.9,-1049.44,9656.53,-4.73239,-0.521988,0.0470524,2.74E-05,-1.63E-06,-4.25E-06,-9.65242,2.19341,68.7197,-951.673,-1021.16,17144.2
2,1,-1223.03,-1076.03,9726.31,-4.85482,-0.614001,-0.0648209,2.74E-05,-1.39E-06,-4.15E-06,-9.66026,2.18575,68.7169,-55.3826,-1523.65,16739.8
2,2,-1213.26,-1057.63,9709.19,-4.61068,-0.598315,-0.0229405,2.79E-05,-7.27E-07,-3.81E-06,-9.66693,2.17906,68.7107,-62.7452,-1599.12,17857.1
2,3,-1195.1,-1115.25,9589.29,-4.5414,-0.557324,0.106123,2.84E-05,-1.21E-07,-3.52E-06,-9.6744,2.17212,68.7008,171.716,-824.185,19196.7
2,4,-1161.82,-1180.28,9629.24,-4.31279,-0.79665,-0.0337332,2.89E-05,2.13E-07,-3.39E-06,-9.68104,2.16355,68.6901,-39.1301,519.803,17984.4
3,0,-1083.05,-1132.68,9686.52,-3.98304,-0.782211,-0.0943343,2.93E-05,2.35E-08,-3.58E-06,-9.68481,2.15456,68.6842,1171.58,-87.8452,18783.5
3,1,-1088.45,-1146.97,9621.1,-3.589,-0.572483,0.146095,2.98E-05,-1.67E-07,-3.77E-06,-9.68859,2.14662,68.6906,942.081,816.138,19117.9
3,2,-1067.82,-1149.2,9639.91,-3.49378,-0.242712,0.111128,2.99E-05,-3.57E-07,-3.96E-06,-9.69124,2.13973,68.6996,285.725,-301.791,19343.8
3,3,-1057.41,-1104.75,9658.18,-3.3131,0.355474,-0.322958,2.95E-05,-5.47E-07,-4.15E-06,-9.69263,2.136,68.7077,547.516,-521.323,18876.9
3,4,-1089.36,-1101.52,9647.29,-3.32386,0.547354,-0.461777,2.89E-05,-7.37E-07,-4.34E-06,-9.69546,2.13346,68.7146,-166.631,425.013,18620.8
4,0,-1156.1,-1119.97,9660.96,-3.2712,0.227805,-0.198374,2.86E-05,-8.61E-07,-4.46E-06,-9.69785,2.1321,68.7227,-394.583,-613.687,19291.1
4,1,-1207.64,-1119.52,9702.34,-3.12656,-0.209761,0.0971428,2.85E-05,-9.00E-07,-4.50E-06,-9.69967,2.13113,68.7309,-589.995,-2055.7,20060.4
4,2,-1237.38,-1087.74,9740.3,-3.18779,-0.398487,0.206343,2.85E-05,-9.00E-07,-4.50E-06,-9.7022,2.13,68.736,-1004.58,-1312.28,19547.7
4,3,-1269.3,-1050.08,9768.62,-3.46174,-0.423599,0.150473,2.84E-05,-8.50E-07,-4.55E-06,-9.70456,2.12926,68.7373,-178.323,-218.251,18192.1
4,4,-1217.14,-1077.08,9769.34,-3.50742,-0.750418,-0.264663,2.82E-05,-6.20E-07,-4.78E-06,-9.70585,2.12647,68.7364,-802.455,10.7798,18570.2
5,0,-1143.48,-1054.76,9792.09,-3.84426,-1.11184,-0.274231,2.78E-05,-3.35E-07,-5.07E-06,-9.70743,2.11826,68.7345,0,-478.373,18251.4
5,1,-1240.07,-1016.05,9844.14,-4.3184,-1.131,-0.0156085,2.75E-05,-4.99E-08,-5.35E-06,-9.71117,2.11112,68.735,-1690.92,-603.251,18491.2
5,2,-1293.09,-988.36,9815.57,-4.94638,-1.54123,-0.181278,2.76E-05,1.16E-07,-5.28E-06,-9.71633,2.10185,68.7365,-798.879,-2191.43,18930.7
5,3,-1363.83,-1009.95,9760.57,-5.24204,-1.92863,-0.308619,2.78E-05,2.60E-07,-5.14E-06,-9.72299,2.09162,68.7382,-940.171,-1413.42,19295.9
