

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
4,1,-310.281,9782.82,-24.9055,-2.72988,0.0432627,-0.1418,1.9529e-05,2.05964e-05,-2.0224e-05,15.371,117.819,117.346,89.1018,8770.61,7805.94,1631.74,9546.27,94.2454,-2.3727,0.0338925,-1.18588,-2.28994e-05,2.42529e-05,-1.095e-05,-62.1474,153.837,151.021,765.364,14654.3,8496.24
4,2,-348.136,9748.09,-17.7003,-2.41549,-0.0307354,-0.18306,1.935e-05,2.02402e-05,-2.01599e-05,15.4001,117.802,117.328,201.828,8867.53,7609.98,1624.91,9567.95,106.229,-2.2824,0.0412895,-1.04227,-2.29944e-05,2.37779e-05,-1.095e-05,-62.161,153.836,151.02,825.026,15663.7,7764.79
4,3,-282.288,9772.99,54.529,-2.38359,-0.0358388,-0.149485,1.935e-05,1.98542e-05,-2.03047e-05,15.4296,117.785,117.312,299.796,10506.4,8116.47,1638.58,9565.79,175.262,-2.27999,-0.0236513,-0.883797,-2.30451e-05,2.34654e-05,-1.09943e-05,-62.1727,153.835,151.02,616.08,16483.9,9187.38
4,4,-274.008,9777.08,109.83,-2.43153,0.0143648,-0.0248686,1.93397e-05,1.94859e-05,-2.04509e-05,15.4569,117.767,117.298,850.763,10878.8,8281.01,1713.49,9624.18,205.12,-2.18324,-0.0720095,-0.517884,-2.29312e-05,2.37564e-05,-1.12032e-05,-62.1826,153.838,151.021,1071.77,16292.4,10217.5
5,0,-380.353,9761.55,23.4461,-2.72585,-0.440325,-0.112015,1.9247e-05,1.92589e-05,-2.06089e-05,15.4804,117.752,117.283,524.722,10393,9305.1,1639.33,9658.39,171.99,-2.11612,0.17327,-0.634564,-2.27412e-05,2.43263e-05,-1.14882e-05,-62.1996,153.84,151.021,215.554,14924.1,10692.5
5,1,-425.552,9752.75,75.1856,-2.77354,-0.126907,-0.296238,1.89092e-05,1.94519e-05,-2.08019e-05,15.5023,117.736,117.268,319.988,11372.2,9006.2,1711.17,9682.31,201.926,-2.18121,0.464119,-0.675761,-2.25512e-05,2.48963e-05,-1.17731e-05,-62.2174,153.842,151.023,275.166,16207.3,9756.65
5,2,-414.567,9758.34,11.2354,-2.49579,-0.250827,-0.356237,1.85715e-05,1.96449e-05,-2.09949e-05,15.5243,117.722,117.252,824.845,11074.1,9017.63,1623.29,9619.32,155.112,-1.79037,0.76699,-0.345501,-2.2506e-05,2.48148e-05,-1.1841e-05,-62.2358,153.847,151.02,891.62,15656.1,8575.1
5,3,-319.295,9793.55,13.8127,-2.44961,-0.0562458,-0.531073,1.84484e-05,1.97663e-05,-2.11163e-05,15.5482,117.708,117.238,392.713,10993.5,9088.79,1609.23,9614.81,117.581,-1.64791,0.680442,-0.355208,-2.25e-05,2.45569e-05,-1.185e-05,-62.2452,153.85,151.015,1027.82,16030.1,8274.11
5,4,-338.389,9763.35,18.853,-2.65946,0.15655,-0.265766,1.85886e-05,1.98e-05,-2.115e-05,15.5713,117.694,117.224,250.619,10905.8,8428.41,1637.17,9599.17,121.709,-1.48263,0.739886,-0.535225,-2.24953e-05,2.42724e-05,-1.18467e-05,-62.2509,153.855,151.008,983.666,15981.5,9321.53
6,0,-347.689,9757.36,-14.2685,-2.60644,0.18807,-0.382396,1.88298e-05,1.98e-05,-2.115e-05,15.5912,117.682,117.211,1112.9,10921.9,7824.31,1664.79,9553.95,86.0818,-1.24332,0.735548,-0.715205,-2.22283e-05,2.40141e-05,-1.16598e-05,-62.2552,153.863,150.996,684.442,16028.7,9832.33
6,1,-296.855,9761.87,12.4274,-2.46144,-0.0071881,-0.616336,1.89983e-05,1.98437e-05,-2.10045e-05,15.6082,117.673,117.201,789.75,10811.2,7736.47,1686.52,9543.28,40.4672,-1.26377,0.651043,-0.890093,-2.17533e-05,2.37767e-05,-1.13273e-05,-62.2604,153.871,150.983,186.341,15331.9,9363.29
6,2,-274.056,9761.27,67.1979,-2.62891,-0.177567,-0.366497,1.905e-05,1.99574e-05,-2.06254e-05,15.6238,117.663,117.194,-781.789,10322.1,8379.84,1703.27,9593.18,57.1188,-1.46496,0.646396,-1.00094,-2.13139e-05,2.35665e-05,-1.10003e-05,-62.2675,153.874,150.975,122.358,14752.9,8699.06
6,3,-319.442,9828.19,14.5823,-2.75846,0.00794564,-0.0856784,1.905e-05,2.01021e-05,-2.01429e-05,15.639,117.654,117.185,-531.219,9884.68,9008.34,1704.39,9645.11,96.8096,-1.35765,0.658119,-1.0278,-2.1059e-05,2.34983e-05,-1.07017e-05,-62.2753,153.877,150.968,604.731,16301.3,8162.33
6,4,-409.881,9831.74,91.8392,-2.3045,0.19535,0.165497,1.905e-05,2.02327e-05,-1.97076e-05,15.6552,117.641,117.174,-407.796,10119.4,6682.78,1684.88,9668.91,92.8974,-1.34145,0.772765,-1.37518,-2.12015e-05,2.37358e-05,-1.04642e-05,-62.286,153.878,150.96,33.3305,15050.3,8665.6
7,0,-362.063,9826.29,41.7222,-2.47107,0.0245971,-0.140015,1.905e-05,2.025e-05,-1.965e-05,15.6738,117.629,117.162,668.963,11002.6,9754.26,1628.34,9594.4,39.3921,-1.56781,0.54918,-1.72849,-2.1344e-05,2.39732e-05,-1.02268e-05,-62.298,153.876,150.952,333.305,16931.3,11061.3
7,1,-367.013,9750.49,133.499,-2.54929,0.204639,-0.33039,1.905e-05,2.025e-05,-1.965e-05,15.6921,117.614,117.152,176.448,9397.66,9147.94,1635.12,9581.48,102.983,-1.65682,0.366929,-1.80192,-2.15141e-05,2.41323e-05,-1.0217e-05,-62.308,153.872,150.947,605.764,16042.7,7918.91
7,2,-332.461,9768.69,126.11,-2.97495,0.377886,0.14167,1.905e-05,2.025e-05,-1.965e-05,15.7136,117.599,117.141,789.742,10369.5,8633.83,1675.37,9595.71,117.518,-2.10717,0.0040639,-1.92468,-2.1734e-05,2.415e-05,-1.06181e-05,-62.3161,153.866,150.945,530.06,15092.8,7677.44
7,3,-360.294,9722.45,91.3522,-2.2821,0.177835,-0.0349673,1.9117e-05,2.02835e-05,-1.96835e-05,15.7352,117.583,117.128,-504.566,10229.2,8756.52,1678.32,9655.1,56.4355,-2.50887,-0.300041,-2.00902,-2.19602e-05,2.415e-05,-1.10705e-05,-62.3274,153.861,150.943,820.792,15552,8301.26
7,4,-360.475,9768.19,51.9723,-2.52093,0.389702,-0.103504,1.92069e-05,2.03285e-05,-1.97285e-05,15.7573,117.569,117.115,-103.923,10845.5,8832,1731.79,9677.09,-19.318,-3.20724,-0.732108,-1.98474,-2.21864e-05,2.41813e-05,-1.14185e-05,-62.335,153.856,150.943,382.699,15018.6,8374.16
8,0,-280.452,9748.01,50.7063,-2.73547,0.360683,-0.123245,1.92987e-05,2.03744e-05,-1.97744e-05,15.7813,117.555,117.102,561.316,10919.6,8361.8,1796.48,9690.86,-74.0845,-3.88381,-1.18065,-2.04958,-2.24126e-05,2.42776e-05,-1.155e-05,-62.338,153.85,150.945,332.243,15168.7,9095.95
8,1,-246.724,9711.48,71.1877,-2.4658,0.286039,-0.160015,1.93702e-05,2.01762e-05,-1.98202e-05,15.8064,117.54,117.09,600.508,10164,8847.27,1834.83,9725.91,-116.124,-4.27116,-1.89943,-2.25366,-2.26388e-05,2.44133e-05,-1.155e-05,-62.3344,153.844,150.946,972.739,16126.6,10104.1
8,2,-286.111,9777.5,88.9477,-2.3386,0.263727,-0.174429,1.94161e-05,1.96725e-05,-1.98661e-05,15.8317,117.524,117.076,912.387,9773.21,9781.25,1829.05,9753.47,-146.728,-4.42718,-3.2482,-2.33408,-2.27395e-05,2.45054e-05,-1.15063e-05,-62.3186,153.836,150.947,1530.99,16967.4,9924.07
8,3,-268.598,9843.87,97.2545,-2.38816,-0.335765,-0.204942,1.94626e-05,1.91751e-05,-1.99086e-05,15.8575,117.508,117.064,1230.95,10228.7,8440.53,1755.19,9738.01,-143.31,-4.49415,-5.25244,-2.1665,-2.24416e-05,2.44588e-05,-1.13241e-05,-62.2863,153.826,150.945,1518.14,17707.2,8939.63
8,4,-340.042,9887.89,29.1712,-2.36669,-0.214675,0.132554,1.95158e-05,1.87658e-05,-1.99104e-05,15.8822,117.493,117.049,395.788,11420,7538.93,1669.76,9695.6,-127.106,-4.59079,-7.93137,-2.26571,-2.16273e-05,2.42326e-05,-1.09622e-05,-62.2375,153.811,150.942,658.245,16487.7,8894.21
9,0,-391.431,9754.35,83.9389,-1.95742,-0.0466686,0.162755,1.96076e-05,1.88576e-05,-1.9681e-05,15.9063,117.476,117.033,229.638,10294.6,7826.32,1652.16,9653.47,-181.451,-4.43162,-10.7071,-2.44898,-2.0813e-05,2.40064e-05,-1.06002e-05,-62.1736,153.797,150.933,1435.12,16715.7,8077.71
9,1,-328.307,9760.86,56.7252,-2.01343,0.148285,-0.670711,1.96994e-05,1.89494e-05,-1.94515e-05,15.9323,117.46,117.018,2060.89,10013.3,8589.66,1545.63,9567.79,-182.265,-4.52235,-13.2615,-2.16906,-2.04772e-05,2.38998e-05,-1.05117e-05,-62.0946,153.781,150.921,1004.58,15879.3,7906.51
9,2,-317.523,9777.8,25.1601,-2.05217,0.470361,-0.577717,1.97727e-05,1.90227e-05,-1.93053e-05,15.9587,117.445,117.003,1136.56,9211.81,9225.45,1561.17,9497.96,-298.146,-4.90204,-16.1118,-2.21111,-2.0842e-05,2.39684e-05,-1.08236e-05,-61.9969,153.766,150.905,658.172,14209.3,7103.53
9,3,-280.343,9761.97,9.8048,-2.00257,0.194597,-0.657462,1.97171e-05,1.89671e-05,-1.97392e-05,15.9884,117.429,116.986,28.4092,9336.47,8420.88,1626.48,9501.95,-397.019,-5.57388,-19.1748,-1.99295,-2.12944e-05,2.40589e-05,-1.11855e-05,-61.8744,153.753,150.886,484.859,15409.8,8074.7
9,4,-314.33,9805.93,-7.9147,-2.08984,-0.0362053,-0.192057,1.96253e-05,1.88753e-05,-2.03358e-05,16.0182,117.412,116.967,417.094,11118.2,9701.63,1740.88,9545.39,-497.249,-6.24637,-22.2236,-1.94955,-2.17112e-05,2.40188e-05,-1.1405e-05,-61.7261,153.74,150.865,899.266,15338.8,7879.77
10,0,-312.71,9849.3,-19.9369,-2.21462,-0.134534,0.0555143,1.95422e-05,1.88447e-05,-2.08536e-05,16.048,117.396,116.949,456.138,10534.4,9121.56,1845.55,9606.91,-521.01,-6.61476,-24.9451,-2.17201,-2.20644e-05,2.37458e-05,-1.13703e-05,-61.5575,153.727,150.843,1451.84,15485.6,8382.07
10,1,-319.231,9871.52,-4.26673,-2.13547,0.0037281,-0.133176,1.95e-05,1.90998e-05,-2.10043e-05,16.075,117.38,116.932,306.269,9559.75,8240.1,1914.25,9674.4,-483.83,-6.68376,-27.0606,-2.64609,-2.23811e-05,2.33386e-05,-1.11894e-05,-61.3757,153.712,150.819,1464.08,15952.4,9096.27
10,2,-390.67,9861.97,18.6416,-1.89302,0.441565,-0.269755,1.95e-05,1.96504e-05,-2.07748e-05,16.0976,117.366,116.917,520.858,10296,9501.07,1920.51,9732.71,-439.489,-6.49827,-28.3306,-3.29304,-2.26545e-05,2.2987e-05,-1.10331e-05,-61.189,153.692,150.794,777.209,15891.9,8462.54
10,3,-402.835,9793.21,6.37756,-1.89261,0.735677,-0.209569,1.95211e-05,2.02011e-05,-2.0536e-05,16.1194,117.352,116.901,15.9772,9530.43,9646.25,1850.1,9768.06,-350.838,-5.98805,-28.6651,-3.85827,-2.28e-05,2.28e-05,-1.095e-05,-61.005,153.667,150.769,277.345,16360.7,8113.98
10,4,-366.733,9807.79,-13.2386,-2.37222,0.3546,0.0497523,1.96514e-05,2.07518e-05,-2.02486e-05,16.1422,117.338,116.886,314.57,9512.37,9700.02,1844.15,9771.79,-202.404,-5.34792,-28.3503,-4.1538,-2.28e-05,2.28e-05,-1.095e-05,-60.8262,153.641,150.744,1400.61,16087.7,9197.5
11,0,-419.507,9868.25,-120.704,-2.62386,0.06102,0.0781226,2.00644e-05,2.13025e-05,-1.98356e-05,16.1649,117.327,116.867,613.164,9776.26,7347.39,1878.53,9713.12,-110.035,-4.46671,-27.5853,-4.23889,-2.28e-05,2.28e-05,-1.095e-05,-60.6591,153.617,150.717,1525.55,14712.9,9955.4
11,1,-471.274,9897.08,-76.8676,-2.63901,0.151897,0.342987,2.04774e-05,2.18532e-05,-1.94226e-05,16.1864,117.314,116.849,491.852,11299.9,8059.16,2015.63,9653.97,7.28288,-3.57075,-25.9277,-4.18933,-2.27038e-05,2.30116e-05,-1.09885e-05,-60.5118,153.602,150.691,731.62,16109.5,10452.3
