

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-8203.35,373.224,5260.28,0.292986,-14.2107,-3.91826,3.3003e-05,1.39569e-06,-2.27116e-05,-32.3764,52.3568,60.9613,-7759.9,-105.93,12755.5
1,1,-8256.25,355.713,5125,-0.471551,-13.7927,-4.73788,3.32068e-05,1.6594e-06,-2.22879e-05,-32.345,52.3051,60.9494,-7662.72,-5.07092,14622.2
1,2,-8361.64,328.259,5143.31,-0.910991,-14.5267,-5.20101,3.34401e-05,1.39383e-06,-2.27463e-05,-32.3148,52.2491,60.9379,-7860.23,1505.27,15154.9
1,3,-8454.87,355.616,5127.96,-1.80669,-15.2944,-4.79373,3.36771e-05,1.06211e-06,-2.3315e-05,-32.2857,52.191,60.931,-7091.42,928.547,15532.3
1,4,-8460.74,284.183,5093.37,-2.59703,-16.599,-4.64038,3.37851e-05,8.01974e-07,-2.36259e-05,-32.2572,52.1268,60.9254,-7209.48,-574.025,14612.8
2,0,-8415.71,259.337,5103.28,-3.38205,-17.9984,-4.35067,3.36992e-05,6.49615e-07,-2.35488e-05,-32.2273,52.0562,60.9235,-8000.08,-607.511,13460
2,1,-8411.27,223.423,5143.76,-4.22784,-18.9577,-3.9161,3.35097e-05,5.54835e-07,-2.32645e-05,-32.1979,51.9807,60.925,-8620.42,129.57,13467.2
2,2,-8465.91,132.158,5152.5,-4.79954,-19.4766,-3.54657,3.33774e-05,5.07802e-07,-2.29611e-05,-32.1694,51.9029,60.9271,-8469.77,501.67,13919.9
2,3,-8488.26,160.381,5145.65,-4.89366,-19.6759,-3.03109,3.33847e-05,5.77085e-07,-2.26111e-05,-32.1383,51.8264,60.9287,-7664.79,1308.73,13349.4
2,4,-8403.57,170.549,5231.08,-4.90567,-19.3939,-2.88564,3.34795e-05,7.19254e-07,-2.2232e-05,-32.106,51.7495,60.9307,-7928.64,1450.03,13401.8
3,0,-8279.34,188.998,5183.79,-4.65624,-19.7244,-2.21663,3.35743e-05,8.61422e-07,-2.18529e-05,-32.0705,51.673,60.9351,-8610.72,-205.667,14193.3
3,1,-8285.74,133.373,5237.89,-3.7511,-20.0693,-2.60443,3.349e-05,9.31959e-07,-2.21901e-05,-32.0322,51.5951,60.936,-6534.86,-405.006,13397.5
3,2,-8329.16,90.7397,5173.14,-3.46836,-20.686,-1.98259,3.33542e-05,9.8192e-07,-2.2733e-05,-31.9924,51.5179,60.9391,-8232,314.721,12894.6
3,3,-8313.97,88.8154,5200.52,-3.47881,-21.1606,-1.60852,3.32121e-05,1.02931e-06,-2.33017e-05,-31.9509,51.439,60.9439,-8495.83,339.062,13015.8
3,4,-8250.84,158.182,5224.69,-3.0718,-21.3697,-1.46718,3.31559e-05,9.04758e-07,-2.33832e-05,-31.9057,51.3607,60.9496,-8075.5,764.476,14344.3
4,0,-8293.53,211.719,5226.44,-2.555,-21.3825,-1.68571,3.315e-05,6.79555e-07,-2.31796e-05,-31.8603,51.2838,60.9559,-8414.54,605.863,13562.5
4,1,-8339.76,193.594,5325.93,-1.95957,-21.277,-1.86544,3.31463e-05,4.54894e-07,-2.29574e-05,-31.8141,51.2065,60.9624,-8704.23,39.1328,12978.9
4,2,-8242.55,150.715,5452.85,-1.45407,-20.8239,-1.97903,3.30934e-05,3.94341e-07,-2.29321e-05,-31.7671,51.1287,60.9677,-7901.86,-397.99,14317.7
4,3,-8105.8,171.387,5406.76,-1.64163,-19.8431,-2.51519,3.29512e-05,6.31289e-07,-2.32638e-05,-31.7223,51.0534,60.97,-7308.82,-1054.58,13313.4
4,4,-8021.89,272.03,5448.04,-1.94783,-18.9741,-2.66446,3.28245e-05,8.53889e-07,-2.35889e-05,-31.6763,50.9811,60.9688,-8437.39,-493.825,11403.3
5,0,-7951.6,293.06,5416.65,-1.60296,-17.6341,-3.52683,3.28214e-05,9.61703e-07,-2.3861e-05,-31.6328,50.9134,60.9623,-6218.85,1359.24,14351.2
5,1,-7935.67,295.722,5432.35,-1.85032,-16.7925,-3.35386,3.33427e-05,5.82586e-07,-2.39084e-05,-31.5919,50.8484,60.9565,-7510.46,107.034,13920.7
5,2,-8027.25,185.617,5473.18,-2.41279,-15.8188,-3.10773,3.3864e-05,2.03469e-07,-2.39558e-05,-31.5597,50.7843,60.9555,-7700.49,-594.215,13424.6
5,3,-8026.17,165.428,5436.95,-2.96517,-15.3976,-3.0738,3.42922e-05,7.70861e-08,-2.38835e-05,-31.5314,50.7207,60.9565,-7845.05,-381.65,13357.5
5,4,-8084.93,237.834,5367.94,-3.44802,-15.2602,-3.27972,3.45524e-05,4.06553e-07,-2.35952e-05,-31.5054,50.659,60.958,-7459.55,-519.359,12532.9
6,0,-8131.52,213.949,5416.98,-4.34158,-15.0875,-3.03221,3.47419e-05,9.27839e-07,-2.32161e-05,-31.4817,50.5962,60.9601,-7641.27,-356.025,13653.5
6,1,-8118.58,186.067,5444.4,-5.44857,-15.249,-2.8029,3.48884e-05,1.33047e-06,-2.29233e-05,-31.4599,50.5309,60.9631,-7087.95,844.425,14135.5
6,2,-8120.38,235.858,5376.02,-6.19197,-15.9696,-3.12584,3.495e-05,1.5e-06,-2.28e-05,-31.4392,50.463,60.9668,-5745.69,1885.71,13067.1
6,3,-8187.11,211.735,5399.76,-6.59625,-16.7489,-3.26114,3.495e-05,1.5e-06,-2.28e-05,-31.4199,50.3914,60.973,-6314.53,1177.98,14569.2
6,4,-8255.33,241.898,5372.31,-7.05742,-17.4279,-3.00121,3.49151e-05,1.5e-06,-2.2807e-05,-31.4034,50.3174,60.9867,-6607.63,417.422,13579.2
7,0,-8303.41,252.435,5389.33,-6.71999,-18.211,-4.14936,3.46007e-05,1.5e-06,-2.28699e-05,-31.3864,50.24,60.9975,-5801.33,121.694,12202.7
7,1,-8403.1,240.304,5320.59,-7.29046,-19.6857,-4.11742,3.41268e-05,1.5e-06,-2.29646e-05,-31.3696,50.158,61.0105,-8717.87,1134.01,15130.9
7,2,-8528.34,227.462,5260.3,-7.07004,-21.5142,-3.86887,3.36529e-05,1.5e-06,-2.30594e-05,-31.3487,50.0727,61.0247,-7300.54,1800.51,13165.6
7,3,-8543.43,154.335,5244.2,-6.49488,-23.3913,-4.00973,3.34192e-05,1.56006e-06,-2.30941e-05,-31.3229,49.9816,61.0368,-7902.78,849.183,13003.4
7,4,-8426.21,77.8421,5275.26,-6.21108,-25.2484,-4.38407,3.3301e-05,1.64898e-06,-2.31e-05,-31.2926,49.8817,61.0479,-7421.57,821.182,13822.4
8,0,-8277.16,80.9713,5360.25,-5.9204,-26.6951,-4.04757,3.32062e-05,1.74376e-06,-2.31e-05,-31.2557,49.7761,61.0618,-7227.19,318.246,14061.9
8,1,-8219.29,99.232,5416.87,-5.68031,-27.6882,-3.424,3.32539e-05,1.5537e-06,-2.30593e-05,-31.2145,49.6674,61.079,-7486.98,-477.79,13560.4
8,2,-8249.73,75.7926,5398.22,-5.70422,-28.3549,-3.12744,3.34833e-05,1.00007e-06,-2.29667e-05,-31.1727,49.5574,61.0983,-7195.75,-178.076,13613.1
8,3,-8237.61,90.1093,5390.88,-5.67459,-28.6376,-2.89849,3.37106e-05,4.40332e-07,-2.28685e-05,-31.1296,49.4473,61.1185,-7039.78,678.183,14894.6
8,4,-8124.68,143.45,5452.45,-5.48533,-28.6809,-3.41123,3.38673e-05,-5.44723e-08,-2.27455e-05,-31.0839,49.336,61.1359,-6709.74,1170.4,14819
9,0,-7976.56,128.947,5565.35,-6.17038,-28.6301,-3.35826,3.37319e-05,-2.80117e-07,-2.25199e-05,-31.035,49.2223,61.148,-5442.97,0,11797.5
9,1,-8020.11,174.683,5668.74,-6.11014,-27.8785,-3.00581,3.35965e-05,-5.05762e-07,-2.22942e-05,-30.985,49.1123,61.1598,-6797.99,1065.42,12656.4
9,2,-7932.29,95.9186,5685.01,-5.4127,-27.5868,-3.16824,3.34965e-05,-6.50639e-07,-2.2109e-05,-30.9338,49.0027,61.1677,-7376.18,974.751,13074.4
9,3,-7859.02,122.589,5680.99,-5.3131,-27.2446,-3.0888,3.36156e-05,-2.94487e-07,-2.21742e-05,-30.8801,48.8957,61.1719,-7797.95,-142.098,13797.1
9,4,-7860.52,67.122,5711.34,-5.90948,-26.6555,-2.69017,3.37962e-05,2.01932e-07,-2.23096e-05,-30.8294,48.7896,61.1759,-8516.93,-935.885,14142.8
