

Devices
250
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,2,-8507.44,-305.319,12808.6,-55.3359,5.11323,27.1036,-4.71746e-06,1.23811e-07,2.21849e-05,-1.6478,26.1521,-0.287775,-9578.51,5306.83,22557.1
7,3,-8619.79,-220.746,12801.4,-55.4564,2.31142,26.3135,-4.43486e-06,-2.25844e-08,2.20434e-05,-1.83115,26.1619,-0.152834,-10493.6,4799.32,23503.1
7,4,-8547.76,-127.359,12581,-57.0102,-0.469599,24.3036,-3.9562e-06,-7.67094e-08,2.16596e-05,-2.02166,26.1608,-0.0311377,-10341.6,5909.36,23282.2
8,0,-8381.97,-140.984,12322.2,-58.8155,-3.08772,22.1497,-3.45863e-06,-1.21943e-07,2.12525e-05,-2.21966,26.1493,0.0792797,-8863.44,6683.68,22321.8
8,1,-8243.8,-181.43,12054.1,-60.5277,-5.28104,19.9394,-3.15039e-06,-3.46486e-08,2.08454e-05,-2.42611,26.1291,0.180969,-8331.63,6391.43,21725.5
8,2,-8080.11,-196.217,11762.3,-62.8925,-7.00554,16.9053,-3.08759e-06,2.24453e-07,2.04383e-05,-2.64447,26.1019,0.272475,-9203.64,6056.38,21612.3
8,3,-7779.81,-328.039,11552.4,-65.5879,-8.50187,13.1559,-3.04236e-06,4.95851e-07,2.00312e-05,-2.87714,26.0685,0.354336,-9225.73,5622.28,21416.1
8,4,-7432.24,-491.181,11328.2,-67.6619,-9.74798,8.87231,-3.01156e-06,7.14331e-07,1.97155e-05,-3.12397,26.0295,0.431254,-8248.76,5103.1,20879.8
9,0,-7155.64,-589.8,11296.7,-70.072,-10.7005,4.5137,-3.09622e-06,5.09459e-07,2.01311e-05,-3.38464,25.9861,0.496095,-8283.05,4685.57,21199.1
9,1,-7003.66,-672.592,11237.6,-72.2884,-11.0544,0.577833,-3.18668e-06,2.83294e-07,2.05834e-05,-3.65908,25.9406,0.546485,-7769.48,6390.85,20685.6
9,2,-6922.93,-740.046,11195.7,-74.2125,-11.1033,-4.48299,-3.27715e-06,5.71282e-08,2.10357e-05,-3.94642,25.8942,0.582417,-7234.9,5143.05,21299.1
9,3,-6853.06,-798.592,11215.6,-76.0499,-11.1056,-9.17467,-3.29918e-06,-2.37477e-07,2.09063e-05,-4.24531,25.847,0.603311,-7347.32,5683.39,21298.9
9,4,-6902.38,-756.129,11239.7,-77.6921,-10.3498,-12.9519,-3.3e-06,-5.53284e-07,2.05967e-05,-4.55388,25.8025,0.611566,-7051.38,5654.37,20956.7
10,0,-6968.27,-678.872,11280.9,-79.6626,-9.624,-16.3908,-3.3e-06,-8.69916e-07,2.02801e-05,-4.87268,25.7601,0.605017,-7189.55,5335.72,21806.5
10,1,-7018.39,-567.944,11360.2,-81.3435,-8.69691,-19.3098,-3.39932e-06,-1.04749e-06,2.00032e-05,-5.19956,25.7213,0.585562,-7075.76,5483.43,22853.2
10,2,-7202.15,-391.205,11416.5,-82.0916,-7.21519,-21.1256,-3.6237e-06,-1.05e-06,1.97763e-05,-5.53074,25.6879,0.558859,-6982.21,5707.71,22250.8
10,3,-7494.29,-193.596,11372.4,-82.6212,-6.04219,-22.0027,-3.84968e-06,-1.05e-06,1.95503e-05,-5.86493,25.6589,0.529464,-8576.64,5696.7,20685
10,4,-7401.37,3.82064,11296.1,-83.4488,-5.25821,-22.4129,-4.05e-06,-1.05e-06,1.935e-05,-6.20319,25.6327,0.501096,-8740.36,6164.31,20361
11,0,-7388.38,120.01,11132.7,-84.2774,-4.82003,-22.5741,-4.05e-06,-1.05e-06,1.935e-05,-6.54492,25.6081,0.473178,-9907.17,5673.46,21115.4
11,1,-7373.01,149.299,11095.3,-85.173,-4.75708,-22.2468,-4.05e-06,-1.05e-06,1.935e-05,-6.89026,25.5839,0.447603,-8356.18,5833.16,19763.5
11,2,-7211.8,111.24,10888,-86.8248,-4.21881,-22.1623,-4.05306e-06,-1.06532e-06,1.936e-05,-7.2419,25.5621,0.421671,-7883.28,5639.22,18847.9
11,3,-7128.78,-61.8764,10703.1,-87.771,-3.99071,-22.168,-4.19455e-06,-1.77277e-06,1.98198e-05,-7.59671,25.5409,0.395767,-6023.24,6095.53,19323.6
11,4,-6981.28,-304.4,10551.3,-88.4832,-3.55375,-22.7872,-4.37549e-06,-2.67743e-06,2.04078e-05,-7.95486,25.5214,0.367468,-6057.48,6543.84,19920.2
12,0,-6814.77,-472.775,10438.7,-89.0482,-3.19553,-23.3334,-4.55815e-06,-3.56389e-06,2.09777e-05,-8.31552,25.5031,0.337354,-7384.92,6661.81,20815.3
12,1,-6698.48,-623.655,10310.4,-89.5717,-2.96507,-23.9392,-4.78103e-06,-4.02816e-06,2.11253e-05,-8.67788,25.4858,0.300913,-7652.93,6297.63,20971.7
12,2,-6598.16,-765.689,10143.6,-89.8236,-2.41013,-25.0087,-5.05243e-06,-3.98293e-06,2.07634e-05,-9.04075,25.4708,0.254786,-6840.29,5482.67,20033.2
12,3,-6473.61,-771.797,9996.01,-89.4501,-1.34034,-26.1239,-5.3178e-06,-3.94523e-06,2.04046e-05,-9.40298,25.4598,0.202599,-6633.4,4988.9,19589.8
12,4,-6406.97,-855.796,9854.59,-89.5222,-0.148587,-27.2395,-5.50478e-06,-4.00552e-06,2.00849e-05,-9.76643,25.4533,0.145256,-6159.34,6041.89,19134.9
13,0,-6375.51,-1015.68,9767.03,-90.2588,1.50173,-28.1166,-5.23338e-06,-4.63879e-06,1.99945e-05,-10.1332,25.4531,0.0829534,-7436.25,6261.79,19134.9
13,1,-6176.24,-950.552,9596.74,-89.5074,2.14893,-28.9594,-4.96198e-06,-5.27205e-06,1.9904e-05,-10.4974,25.4556,0.0155772,-7626.79,6228.55,19993.3
13,2,-5990.34,-949.873,9523.98,-89.7843,3.33977,-30.7383,-4.69058e-06,-5.85796e-06,1.98109e-05,-10.865,25.4623,-0.0590402,-7032,5216.59,18943
13,3,-5975.37,-1024.59,9420.94,-89.7734,4.4782,-32.2118,-4.41918e-06,-5.84612e-06,1.96846e-05,-11.2345,25.4725,-0.135745,-7058.37,5088.97,20581.9
