

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,2,-762.382,161.054,8995.86,-0.433997,-21.7951,-4.17951,2.80896e-05,4.1066e-06,-4.3698e-06,-2.98667,9.25159,71.1328,711.45,1148.1,17379.5
7,3,-643.48,187.61,8880.89,0.110729,-20.465,-4.31551,2.78338e-05,4.08905e-06,-4.25947e-06,-2.92643,9.17024,71.1317,533.026,430.536,16385.2
7,4,-601.409,259.9,8866.12,0.290638,-18.8298,-5.07685,2.775e-05,4.38674e-06,-4.43572e-06,-2.86833,9.09557,71.1269,-455.867,0,18183.7
8,0,-590.042,289.841,8855.46,0.379758,-17.1596,-5.93897,2.775e-05,4.83811e-06,-4.75168e-06,-2.81377,9.02699,71.1172,-302.658,0,18785.6
8,1,-681.476,339.046,8819.17,0.22943,-15.5242,-6.20982,2.77419e-05,5.23939e-06,-5.04502e-06,-2.76424,8.96639,71.1051,233.251,494.886,18045.2
8,2,-900.613,463.306,8793.56,0.00570175,-14.0009,-6.05172,2.76546e-05,5.14921e-06,-5.1164e-06,-2.71992,8.91595,71.0935,183.712,866.051,18091.3
8,3,-1057.61,523.037,8764.47,0.00941533,-12.906,-6.16034,2.74289e-05,4.20133e-06,-4.80044e-06,-2.68086,8.87304,71.0836,585.573,165.787,17754.7
8,4,-1086.31,596.393,8724.17,-1.04313,-12.4309,-6.52248,2.72086e-05,3.26424e-06,-4.48628e-06,-2.64952,8.83155,71.0796,542.984,832.842,15574.6
9,0,-1309.28,629.487,8873.45,-2.81652,-13.2564,-6.77322,2.70315e-05,2.41349e-06,-4.18651e-06,-2.62005,8.78539,71.077,1124.48,867.992,17398.9
9,1,-1432.4,607.956,8781.07,-4.02628,-14.6591,-6.7426,2.73474e-05,2.5489e-06,-4.0511e-06,-2.59365,8.73304,71.0753,-766.979,-32.2392,18375
9,2,-1601.01,640.955,8685.04,-4.38515,-16.3682,-6.4454,2.76634e-05,2.68431e-06,-3.91569e-06,-2.5652,8.67804,71.0732,-1134.77,1226.07,16256.1
9,3,-1677.23,803.591,8677.67,-5.68797,-18.8215,-6.02606,2.79655e-05,2.81626e-06,-3.79068e-06,-2.5319,8.61442,71.0582,-792.762,287.643,16477.1
9,4,-1624.71,913.556,8723.41,-7.2754,-21.5913,-4.97971,2.81551e-05,2.92009e-06,-3.75e-06,-2.49392,8.53778,71.0417,-251.719,-104.03,18202.5
10,0,-1529.18,969.071,8762.62,-8.51056,-24.7341,-4.2877,2.82905e-05,3.01036e-06,-3.75e-06,-2.44996,8.44664,71.0269,78.0645,639.495,17248.6
10,1,-1460.37,1048.54,8815.73,-9.52609,-27.8419,-3.91383,2.8413e-05,3.08549e-06,-3.76082e-06,-2.39986,8.34255,71.016,-251.438,1255.16,16806.5
