

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-832.526,9718.53,79.1647,-0.62426,0.248458,0.0368772,2.11001e-05,1.83666e-05,-2.12169e-05,87.771,16.9028,9.66006,1318.24,12087.1,8571.76,6.40615,9681.7,964.281,-2.72528,1.227,-1.41665,-1.50741e-05,2.75964e-05,-8.77591e-06,-73.0203,139.669,154.648,0,16646.6,11195.5
1,1,-812.413,9738.4,-3.74636,-0.968819,0.348813,0.272901,2.0958e-05,1.8414e-05,-2.0838e-05,87.7717,16.9297,9.68656,260.705,10334.9,6925.77,3.84741,9672.96,1026.19,-2.53489,1.24047,-1.84005,-1.50266e-05,2.74064e-05,-8.82341e-06,-73.0186,139.655,154.651,344.401,15958.5,10964.5
1,2,-850.639,9692.39,46.3873,-1.26086,0.350379,0.504456,2.0956e-05,1.8584e-05,-2.05466e-05,87.7693,16.9544,9.7101,411.339,11384.4,8448.32,26.2701,9642.89,1013.82,-2.62937,1.23323,-2.25371,-1.51553e-05,2.74177e-05,-8.94641e-06,-73.0168,139.638,154.653,302.396,15805.5,8363.21
1,3,-886.404,9748.36,77.9253,-1.39725,0.481174,0.473382,2.11437e-05,1.89199e-05,-2.03738e-05,87.7664,16.9778,9.73162,635.872,10875.6,9536.99,85.1342,9683.41,965.851,-2.91019,1.29591,-2.38923,-1.54104e-05,2.75736e-05,-9.12361e-06,-73.0135,139.623,154.656,220.849,15718.2,10545.7
1,4,-866.558,9753.27,171.5,-1.24281,0.529601,0.524452,2.13805e-05,1.92988e-05,-2.02317e-05,87.7617,16.9999,9.75306,581.839,10824.7,8821.21,90.2741,9694.28,942.838,-3.03786,1.58395,-2.56432,-1.56954e-05,2.77636e-05,-9.3136e-06,-73.0127,139.607,154.659,-116.391,16312.9,10924.5
2,0,-824.6,9747.42,202.791,-1.13433,0.701005,0.539961,2.15131e-05,1.94693e-05,-2.03428e-05,87.7567,17.021,9.77499,250.409,10897.3,9223.01,68.9068,9623.83,957.734,-2.99339,1.72541,-2.54026,-1.58411e-05,2.77547e-05,-9.44391e-06,-73.0125,139.59,154.663,-161.826,15779.2,11177.2
2,1,-798.506,9736.33,142.582,-1.42148,0.785293,0.521767,2.14983e-05,1.9345e-05,-2.08117e-05,87.7529,17.0428,9.79794,116.933,10862.8,10203.7,57.784,9561.9,964.714,-3.02404,1.51916,-2.2826,-1.58391e-05,2.75346e-05,-9.51089e-06,-73.0098,139.574,154.667,0,15328.7,11242.8
2,2,-785.913,9722.46,62.554,-1.8243,0.690261,0.494832,2.14036e-05,1.90608e-05,-2.14748e-05,87.7505,17.066,9.82228,261.06,10541.4,9459.71,30.4286,9591.86,955.138,-3.23592,1.25416,-2.03701,-1.57916e-05,2.72497e-05,-9.55839e-06,-73.0048,139.558,154.672,-176.487,16063.7,10281
2,3,-775.037,9777.21,3.00239,-1.83579,0.817955,0.441367,2.13164e-05,1.88444e-05,-2.19873e-05,87.7491,17.0898,9.8475,-40.8766,9186.86,7931.26,-18.0123,9650.67,975.588,-3.37231,1.27716,-1.91862,-1.57345e-05,2.70705e-05,-9.62513e-06,-72.9998,139.541,154.678,-470.631,16234.9,10528.1
