Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-6173.35,1250.21,13665.5,129.319,49.4108,33.4569,3.45E-05,3.92E-06,-5.83E-06,-3.12757,11.4196,76.0188,-6313.33,1005.48,21764.5
1,1,-6334.87,1508.55,13615.9,132.098,49.6103,35.4587,3.47E-05,3.73E-06,-5.31E-06,-2.79119,11.9515,76.1053,-6024.12,917.264,22886.5
1,2,-6366.73,1635.59,13460.4,133.849,49.8431,36.9801,3.47E-05,4.04E-06,-5.35E-06,-2.44868,12.4888,76.1909,-5597.79,2098.26,23737.2
1,3,-6365.93,1855.17,13246.5,135.119,50.4621,38.6849,3.45E-05,4.90E-06,-6.00E-06,-2.10252,13.0321,76.2786,-5326.05,754.751,22914.1
1,4,-6561.28,2008.49,13054,135.849,51.0719,40.5877,3.43E-05,5.90E-06,-6.81E-06,-1.75429,13.5794,76.3702,-5375.62,314.609,22822.3
2,0,-6801.7,2115.99,12865.2,135.886,51.6287,43.4016,3.42E-05,6.33E-06,-7.45E-06,-1.40599,14.1293,76.4724,-5219.55,2566.63,22353.2
2,1,-6950.13,2251.39,12712.6,135.778,52.0957,46.8875,3.44E-05,6.05E-06,-7.88E-06,-1.0582,14.6812,76.5947,-6186.35,3163.43,21364.3
2,2,-7082.79,2394.38,12625.4,135.589,52.1003,50.2499,3.48E-05,5.43E-06,-8.21E-06,-0.710317,15.2334,76.7379,-7715.49,1174.42,21104.4
2,3,-7280.06,2487.4,12503.4,134.684,51.405,53.4589,3.50E-05,5.00E-06,-8.53E-06,-0.361691,15.7817,76.8931,-6937.76,2209.91,21611.9
2,4,-7399.69,2577.11,12237.1,133.765,50.6765,57.0282,3.48E-05,5.22E-06,-8.83E-06,-0.011507,16.3258,77.0578,-6584.26,3908.63,21895.2
3,0,-7545.64,2672.92,12166.9,131.946,50.0125,61.2485,3.45E-05,5.64E-06,-9.11E-06,0.338319,16.8634,77.2302,-7971.22,1288.97,21380.6
3,1,-7635.46,2823.55,12133.6,130.899,49.1432,65.7523,3.43E-05,6.07E-06,-9.40E-06,0.69075,17.3954,77.4182,-8170.64,613.846,20839.2
3,2,-7738.69,2955.43,11905.7,130.211,48.1531,70.682,3.47E-05,6.53E-06,-9.95E-06,1.04729,17.9232,77.6242,-7681.21,832.534,22364.3
3,3,-7772.34,3014.16,11776.5,129.007,46.8235,75.5241,3.52E-05,7.01E-06,-1.06E-05,1.40623,18.4441,77.852,-5949.47,4263.41,21902.3
3,4,-7807.49,3126.54,11651,127.409,45.7496,80.6125,3.57E-05,7.47E-06,-1.12E-05,1.76631,18.9581,78.1001,-6192.73,2489.6,21451.5
4,0,-7840.17,3251.54,11475,125.189,44.2926,85.8993,3.58E-05,7.80E-06,-1.19E-05,2.12697,19.4618,78.3694,-7472.75,2483.57,20886
4,1,-7901.43,3343.17,11288.6,123.059,42.5172,91.3094,3.55E-05,8.04E-06,-1.27E-05,2.48905,19.9553,78.6643,-7989.96,4477.44,19538.7
4,2,-8006.6,3414.48,11131,121.02,41.1741,96.613,3.51E-05,8.26E-06,-1.35E-05,2.85117,20.44,78.985,-8015.42,4209.18,19014.3
4,3,-8082.81,3484.07,10969.7,117.934,40.5012,101.544,3.50E-05,8.40E-06,-1.40E-05,3.20912,20.9149,79.3259,-8049.06,3976.16,20605.4
4,4,-8080.89,3556,10746.2,114.919,40.2951,106.72,3.50E-05,8.40E-06,-1.40E-05,3.56212,21.382,79.6888,-6057.07,3413.99,20092.4
5,0,-7972.82,3531.7,10514.1,112.179,40.3631,112.767,3.50E-05,8.40E-06,-1.40E-05,3.91047,21.8429,80.0803,-6996.57,2092.52,19613.3
5,1,-8019.43,3555.21,10310.3,109.493,40.6181,117.902,3.50E-05,8.44E-06,-1.41E-05,4.25348,22.2973,80.4949,-6296.62,2876.41,19266.7
5,2,-7973.32,3491.51,10184.9,106.928,41.2709,122.955,3.52E-05,8.52E-06,-1.43E-05,4.59128,22.7476,80.9286,-6918.05,3072.98,18837.1
5,3,-7882.08,3514.9,9982.89,104.668,42.0877,127.841,3.54E-05,8.62E-06,-1.46E-05,4.92447,23.195,81.3811,-6815.91,4595.7,19261.7
5,4,-7788.96,3565.64,9760.91,102.54,43.2618,132.9,3.53E-05,8.73E-06,-1.51E-05,5.25229,23.6413,81.855,-7765.02,2909.58,18448.3
6,0,-7650.86,3531.04,9587.68,100.266,44.3835,137.605,3.48E-05,8.86E-06,-1.58E-05,5.57447,24.0854,82.3477,-6866.55,2710.74,18578.7
