Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1899.2,1238.62,9598.06,2.84117,1.77745,1.03025,3.21E-05,3.98E-06,-5.00E-06,-1.91609,13.3354,81.5151,334.563,0,19469.5
1,1,-2016.84,1233.69,9586.42,2.85515,2.01462,1.03228,3.21E-05,4.19E-06,-4.85E-06,-1.90583,13.3623,81.5085,369.426,2394.08,18737.8
1,2,-1946.55,1216.83,9616.8,2.70581,1.82812,1.10747,3.14E-05,4.47E-06,-4.67E-06,-1.89481,13.3861,81.5059,74.66,1916.15,18627.9
1,3,-1852.73,1208.5,9645.18,1.97024,1.34237,1.21963,3.07E-05,4.75E-06,-4.48E-06,-1.88392,13.4041,81.5059,0,1669.09,18725.1
1,4,-1780.91,1261.17,9580.68,1.12445,0.813467,1.54445,3.04E-05,4.91E-06,-4.38E-06,-1.87232,13.4182,81.5083,-412.173,1455.66,18240
2,0,-1738.53,1324.99,9514.45,0.483084,0.334298,1.4542,3.05E-05,4.95E-06,-4.35E-06,-1.86017,13.4295,81.5121,-743.594,2344.14,18632.7
2,1,-1743.78,1345.9,9523.44,-0.232917,-0.213051,1.1802,3.07E-05,4.95E-06,-4.35E-06,-1.84904,13.4371,81.5168,-1400.25,2372.74,19281.1
2,2,-1757.77,1287.89,9567.15,-1.0299,-0.6534,1.16817,3.08E-05,4.96E-06,-4.49E-06,-1.84192,13.4401,81.5216,-1813.63,1320.87,18973.3
2,3,-1717.92,1165.3,9566.39,-1.5874,-0.573335,1.05337,3.07E-05,5.00E-06,-4.95E-06,-1.84041,13.4397,81.5249,-542.493,2374.81,18558.6
2,4,-1708.08,1126.82,9522.11,-2.56879,-0.267239,0.709301,3.05E-05,5.05E-06,-5.47E-06,-1.84033,13.4386,81.5283,-167.052,2408.52,18409
3,0,-1630.61,1148.62,9498.48,-2.95078,0.063239,-0.0360574,3.03E-05,5.10E-06,-5.99E-06,-1.83886,13.4367,81.532,-1670.52,485.949,18413.6
3,1,-1626.27,1146.21,9430.37,-2.98606,0.208679,0.155457,3.08E-05,4.87E-06,-5.77E-06,-1.83741,13.435,81.5357,-167.052,1759.31,19085.7
3,2,-1595.22,1125.3,9557.64,-3.23756,1.14802,-0.553391,3.12E-05,4.63E-06,-5.53E-06,-1.84226,13.4333,81.5378,-1834.99,226.424,18299.4
3,3,-1468.67,1028.89,9609,-3.41157,1.88652,-1.00641,3.17E-05,4.42E-06,-5.32E-06,-1.85022,13.4293,81.5393,-2218.29,325.256,18723.6
3,4,-1473.63,981.16,9679.28,-3.12794,2.78294,-1.61201,3.18E-05,4.35E-06,-5.25E-06,-1.86101,13.4286,81.5382,-686.191,990.514,18506
4,0,-1450.03,953.627,9677.18,-2.59628,3.50872,-1.7981,3.18E-05,4.35E-06,-5.25E-06,-1.87177,13.4306,81.5347,100.894,587.159,18445.3
4,1,-1446.67,904.149,9637.5,-1.81083,4.09974,-1.83844,3.18E-05,4.40E-06,-5.20E-06,-1.88231,13.4365,81.5283,-172.824,-172.824,18242.9
4,2,-1579.67,864.464,9645.28,-0.634194,4.80198,-2.18289,3.18E-05,4.63E-06,-4.97E-06,-1.89345,13.4494,81.5189,-375.024,-87.9998,18209.5
4,3,-1682.09,875.956,9651.11,0.47247,5.25399,-2.33821,3.17E-05,5.05E-06,-4.55E-06,-1.90348,13.4683,81.5081,-835.391,545.644,19480.6
4,4,-1670.23,919.998,9662.47,0.680474,4.95991,-2.35205,3.17E-05,5.44E-06,-4.16E-06,-1.91115,13.4873,81.4978,-1498.6,1291.61,18424.2
5,0,-1800.62,1059.06,9675.44,1.71159,4.98727,-3.05029,3.17E-05,5.47E-06,-4.08E-06,-1.91608,13.5131,81.4895,-198.33,0,19514.1
5,1,-1893.15,1049.91,9527.4,2.20762,4.09543,-2.58819,3.17E-05,5.00E-06,-4.46E-06,-1.91812,13.5394,81.4848,402.044,0,18699
5,2,-1966.41,1028.18,9554.3,2.90335,3.70445,-2.97069,3.17E-05,4.52E-06,-4.84E-06,-1.9185,13.5671,81.478,-1058.14,-284.175,19700.3
5,3,-1986.1,1020.85,9614.36,3.9248,3.2733,-3.07015,3.14E-05,4.20E-06,-4.94E-06,-1.9138,13.596,81.465,-959.442,-106.565,20332.7
5,4,-1982.38,1047.67,9663.18,4.84011,3.07852,-3.24991,3.10E-05,4.01E-06,-4.79E-06,-1.90488,13.6268,81.4475,-270.707,0,17287.3
